# SAXS profile: number of points = 82, q_min = 0, q_max = 0.4, delta_q = 0.005
#    q    intensity    error
0.00000    36116445.34226621 5417.46680134
0.00500    35049579.77628671 56780.31817997
0.01000    32025209.60098669 89830.71110543
0.01500    27530304.56597933 99109.09436072
0.02000    22249481.34247635 84103.03768423
0.02500    16913056.55002601 85749.19486571
0.03000    12147838.44917075 56487.44756678
0.03500    8369032.63515983 63269.88534690
0.04000    5735805.34423877 49385.28293697
0.04500    4173123.08659562 40312.36813505
0.05000    3442939.22467178 34240.02983904
0.05500    3237442.72824250 29913.97015227
0.06000    3265229.79324698 38839.90753677
0.06500    3309878.38829813 45874.91345196
0.07000    3252502.24161775 48494.80735384
0.07500    3062589.80401987 34913.52299572
0.08000    2769274.36817962 40376.01939673
0.08500    2427465.85894947 34445.73977752
0.09000    2090248.49616157 42797.83701281
0.09500    1793240.86818045 30987.20151675
0.10000    1550944.96199522 30545.86035050
0.10500    1361187.18086949 23807.16326630
0.11000    1212900.31484161 24233.74775375
0.11500    1093255.32309280 22827.17064035
0.12000    992078.15251401 18006.21806899
0.12500    903482.94906009 25613.74103789
0.13000    825452.61703782 16220.14356501
0.13500    758474.73722631 17020.17272573
0.14000    704068.02697062 17869.24612794
0.14500    663546.05737124 15984.82416723
0.15000    637174.07941919 18761.59035192
0.15500    623741.35141431 17514.65675874
0.16000    620520.50976202 19481.24097124
0.16500    623609.17532871 17080.65493277
0.17000    628484.19661738 19344.74314202
0.17500    630725.27323712 26641.83494943
0.18000    626661.32328622 17013.85454903
0.18500    613905.19615232 20553.54551024
0.19000    591653.58753647 20341.04988723
0.19500    560841.19045407 21435.34982248
0.20000    523999.88298337 18958.31534470
0.20500    484910.05580220 14983.72039100
0.21000    447928.61539858 17012.32843438
0.21500    417089.24537725 16216.42949948
0.22000    395161.18114526 15719.51143619
0.22500    382948.39747213 12981.95038542
0.23000    379052.58536634 14447.58896971
0.23500    380287.46447556 16154.61113137
0.24000    382591.32762538 17979.87904154
0.24500    382163.76925379 18332.39560301
0.25000    376425.77519043 17006.91614448
0.25500    364541.03884334 22397.40092787
0.26000    347335.00274256 16317.79806551
0.26500    326769.73961042 15645.73478415
0.27000    305226.74951597 14888.96050982
0.27500    284858.62801276 12972.46163079
0.28000    267201.79572275 15767.57761442
0.28500    253061.41169770 14113.23461603
0.29000    242572.01809291 10588.26835390
0.29500    235343.19621272 11494.16144698
0.30000    230580.42630585 12492.84721894
0.30500    227219.67911649 12515.25964691
0.31000    224072.56483028 13588.88039137
0.31500    220038.95419627 11472.83081617
0.32000    214341.99363868 12384.68011649
0.32500    206716.88667434 15162.68329969
0.33000    197474.19353806 10785.05283974
0.33500    187392.34534791 9444.57399506
0.34000    177465.60581745 11800.57519584
0.34500    168611.29038697 13126.38866408
0.35000    161411.32545532 10197.96731497
0.35500    156001.50946464 11662.67258763
0.36000    152115.12634755 9884.44068974
0.36500    149225.15970450 9011.70719368
0.37000    146755.31521051 9800.31973129
0.37500    144240.20033126 8135.14711733
0.38000    141453.81180142 10509.31071350
0.38500    138425.17885336 9617.78121231
0.39000    135404.46029802 9529.76570331
0.39500    132742.12260130 8673.37009739
0.40000    130755.21690618 11010.89657017
0.40500    129604.36163785 10260.77708209
