#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   1.69573e+07       205455
       0.004    1.6637e+07       201467
       0.008   1.57094e+07       190487
       0.012   1.42718e+07       174893
       0.016   1.24699e+07       157366
        0.02   1.04761e+07       141401
       0.024   8.46573e+06       133790
       0.028   6.59389e+06       142510
       0.032   4.97811e+06       169502
       0.036   3.68796e+06       206307
        0.04   2.74339e+06       241157
       0.044    2.1212e+06       262633
       0.048    1.7664e+06       267090
       0.052   1.60686e+06       257650
       0.056   1.56747e+06       249164
        0.06   1.58182e+06       245791
       0.064   1.59972e+06       240773
       0.068   1.59017e+06       230188
       0.072   1.54035e+06       214942
       0.076   1.45165e+06       197510
        0.08    1.3345e+06       179807
       0.084   1.20302e+06       162891
       0.088   1.07079e+06       147253
       0.092        948138       133039
       0.096        841046       120510
         0.1        751336       111368
       0.104        677711       103748
       0.108        617114        97036
       0.112        565993      90711.2
       0.116        521261      84435.3
        0.12        480789      78024.7
       0.124        443550      71334.3
       0.128        409443      64284.5
       0.132        378989      57086.8
       0.136        352966      50265.8
        0.14        332076      44245.4
       0.144        316717        39083
       0.148        306843      34604.2
       0.152        301951        30641
       0.156        301147        27317
        0.16        303275      25687.1
       0.164        307073      24356.1
       0.168        311322      23148.7
       0.172        314946      21909.8
       0.176        317072      20552.4
        0.18        317047        19093
       0.184        314431      17648.5
       0.188        308989      16370.2
       0.192        300704      15341.1
       0.196        289804      14537.5
         0.2        276800      13879.1
       0.204        262487      13286.2
       0.208        247910      12689.3
       0.212        234240      12019.3
       0.216        222608      11221.4
        0.22        213897        10304
       0.224        208560      9386.34
       0.228        206509      8670.48
       0.232        207108      8304.65
       0.236        209287      8252.41
        0.24        211756      8325.05
       0.244        213257      8328.57
       0.248        212811      8158.31
       0.252        209883      7801.08
       0.256        204445      7302.54
        0.26        196929      6738.56
       0.264        188081      6191.32
       0.268        176400      5971.56
       0.272        169017      5201.51
       0.276        161620      4917.69
        0.28        152358      4748.31
       0.284        149510      4568.09
       0.288        145393       4301.9
       0.292        141756      4240.67
       0.296        142944      4194.63
         0.3        140245       3766.8
       0.304        141735      3763.07
       0.308        137511      3569.56
       0.312        136257      3420.24
       0.316        135415       3291.4
        0.32        132510      3197.09
       0.324        129435      3043.45
       0.328        125737      2895.58
       0.332        122399      2975.49
       0.336        117464      3002.09
        0.34        112458       2863.4
       0.344        108617      2798.26
       0.348        105153      2732.02
       0.352        101798      2519.64
       0.356       99827.5      2502.71
        0.36       97674.1      2523.19
       0.364       96465.7      2304.88
       0.368       96621.1      2159.42
       0.372       95949.8      2095.93
       0.376         94928      2070.97
        0.38       94635.3      1924.54
       0.384       94043.8      1939.03
       0.388       92952.5      1897.33
       0.392         91657      1824.31
       0.396       91733.8      1798.53
         0.4       91909.3      1762.85
