# SAXS profile: number of points = 82, q_min = 0, q_max = 0.4, delta_q = 0.005
#    q    intensity    error
0.00000    16562364.16145840 2484.35462422
0.00500    16084912.71601169 26057.55811458
0.01000    14745245.53405730 41360.41288260
0.01500    12791756.34463607 46050.32187572
0.02000    10552075.04183957 39886.84280907
0.02500    8341310.06938566 42290.44114288
0.03000    6389675.88980526 29711.99224490
0.03500    4811851.95174303 36377.59996466
0.04000    3619261.28893167 31161.83901817
0.04500    2758974.07786690 26651.68900943
0.05000    2156037.77698973 21441.79522230
0.05500    1742108.79935474 16097.08495266
0.06000    1465120.35512185 17427.60624102
0.06500    1285983.67674435 17823.73336732
0.07000    1172116.91960342 17476.26288616
0.07500    1094873.94896636 12481.56274290
0.08000    1031662.19565201 15041.63448055
0.08500    969220.60455307 13753.24007477
0.09000    904086.90797612 18511.17903160
0.09500    839154.98404582 14500.59780357
0.10000    778453.57207246 15331.64276267
0.10500    723351.08194207 12651.41014305
0.11000    672114.82646573 13428.85393533
0.11500    622156.74019783 12990.63244747
0.12000    572639.20524987 10393.40134489
0.12500    525422.08575672 14895.71580090
0.13000    483789.55123667 9506.46447094
0.13500    450140.46998906 10101.15192244
0.14000    424354.13531060 10770.10771516
0.14500    403824.17378853 9728.12413061
0.15000    384944.78920047 11334.69906634
0.15500    364939.44019248 10247.49925302
0.16000    342927.71455391 10766.21535927
0.16500    319814.66744588 8759.72354673
0.17000    297333.63453310 9151.92906756
0.17500    277006.51494417 11700.75493120
0.18000    259561.24553502 7047.08765963
0.18500    244954.13112881 8201.06412787
0.19000    232729.30788271 8001.23342710
0.19500    222414.67120651 8500.68854448
0.20000    213674.51967545 7730.74394992
0.20500    206302.25503648 6374.73953883
0.21000    200105.18152634 7599.99462530
0.21500    194844.51312685 7575.55450183
0.22000    190249.54432104 7568.12670470
0.22500    186087.72397122 6308.37370225
0.23000    182212.52234933 6945.03013478
0.23500    178582.75530841 7586.19527665
0.24000    175231.55146818 8235.00657794
0.24500    172222.05801292 8261.49193897
0.25000    169592.67453783 7662.19686504
0.25500    167324.83396991 10280.43757022
0.26000    165312.68889015 7766.38995113
0.26500    163356.47115128 7821.50766456
0.27000    161195.99923555 7863.14066760
0.27500    158570.97560820 7221.32206837
0.28000    155314.29613200 9165.09641062
0.28500    151424.51595091 8444.94506648
0.29000    147070.66645302 6419.63444768
0.29500    142529.29849934 6961.13078364
0.30000    138064.55519464 7480.33743380
0.30500    133836.73953006 7371.72744908
0.31000    129878.47902454 7876.48018496
0.31500    126168.88731961 6578.44563827
0.32000    122735.26481081 7091.64344275
0.32500    119704.93803520 8780.35700923
0.33000    117254.54306903 6403.85672701
0.33500    115480.56633582 5820.22041362
0.34000    114277.02912483 7598.85088231
0.34500    113321.23060730 8822.05760616
0.35000    112178.25516444 7087.42200332
0.35500    110488.83428364 8260.14506694
0.36000    108116.08808788 7025.38324736
0.36500    105168.43115869 6351.12141610
0.37000    101904.43596342 6805.17808194
0.37500    98574.82937335  5559.62025272
0.38000    95324.07776547  7082.10219970
0.38500    92169.25875525  6403.91995555
0.39000    89074.01278748  6269.02888022
0.39500    86025.99971541  5620.93869608
0.40000    83083.78240641  6996.48516045
0.40500    80372.56135304  6363.09554044
