# SAXS profile: number of points = 82, q_min = 0, q_max = 0.4, delta_q = 0.005
#    q    intensity    error
0.00000    36237437.63101505 5435.61564465
0.00500    35198661.63750778 57021.83079065
0.01000    32282580.95471893 90552.63773798
0.01500    28026154.81270707 100894.15521153
0.02000    23138578.80066933 87463.82600465
0.02500    18303720.26830289 92799.85976584
0.03000    14023842.97052009 65210.86840236
0.03500    10552690.30678084 79778.33698561
0.04000    7920633.45063745 68196.65252285
0.04500    6017288.23442240 58127.00307352
0.05000    4682081.10011475 46563.29552028
0.05500    3766198.77190007 34799.67588841
0.06000    3154437.29010253 37522.03074084
0.06500    2759422.70336822 38245.59782678
0.07000    2508696.21273948 37404.65970766
0.07500    2339475.02558361 26670.01470338
0.08000    2202814.85759503 32117.03991473
0.08500    2069924.21830077 29372.22400880
0.09000    1932596.74942833 39569.91756981
0.09500    1795742.91739422 31030.43692621
0.10000    1666592.40277793 32823.53664631
0.10500    1547148.77071974 27059.63140076
0.11000    1433643.44480551 28644.19539273
0.11500    1321323.03208841 27589.22429865
0.12000    1209614.23908044 21954.49795264
0.12500    1103596.74819852 31286.96711766
0.13000    1010887.05379984 19863.93016656
0.13500    936611.69065668 21017.56587201
0.14000    880115.69959995 22337.33596011
0.14500    835340.68684135 20123.35669930
0.15000    794221.81402879 23385.86079482
0.15500    750658.96874181 21078.50337415
0.16000    702728.11610729 22062.14871512
0.16500    652353.96889089 17867.97481095
0.17000    603225.14294402 18567.26948723
0.17500    558606.24710832 23595.52735345
0.18000    520135.25525987 14121.67186641
0.18500    487880.28089314 16334.23144117
0.19000    461044.19151773 15850.69895194
0.19500    438719.64072143 16767.86429549
0.20000    420147.40564273 15200.93279808
0.20500    404698.50124213 12505.18341023
0.21000    391701.58642700 14876.82592155
0.21500    380413.54268671 14790.47821060
0.22000    370134.37148566 14723.94497008
0.22500    360384.99408686 12217.05102768
0.23000    350975.81365424 13377.44283972
0.23500    341987.65183039 14527.63512641
0.24000    333643.27850265 15679.56552422
0.24500    326173.36816765 15646.53612270
0.25000    319694.38518475 14443.79200109
0.25500    314159.23669713 19301.94307293
0.26000    309321.88705191 14531.94193013
0.26500    304752.10290152 14591.53036200
0.27000    299916.00478442 14629.90238759
0.27500    294295.79727327 13402.23030935
0.28000    287553.51488895 16968.53253567
0.28500    279654.56298799 15596.33463045
0.29000    270867.55448668 11823.36848998
0.29500    261659.87838318 12779.46817556
0.30000    252496.28956154 13680.24866368
0.30500    243690.14420807 13422.45284395
0.31000    235354.93493689 14273.09971124
0.31500    227506.39746698 11862.18329963
0.32000    220204.14036310 12723.39494668
0.32500    213623.04760547 15669.25019270
0.33000    207986.16615139 11359.16421123
0.33500    203393.88603685 10251.05162781
0.34000    199674.68214291 13277.36769319
0.34500    196385.36673822 15288.60045983
0.35000    192959.11035192 12191.15632032
0.35500    188949.54193076 14125.86743989
0.36000    184202.76793479 11969.49559360
0.36500    178854.19814715 10801.00478534
0.37000    173191.91526700 11565.75584371
0.37500    167453.64976575 9444.38563625
0.38000    161737.92255428 12016.31868829
0.38500    156012.90526960 10839.77641647
0.39000    150244.62962630 10574.21679735
0.39500    144492.22549649 9441.12180345
0.40000    138946.98681988 11700.72549922
0.40500    133891.76226913 10600.21058250
