# SAXS profile: number of points = 82, q_min = 0, q_max = 0.4, delta_q = 0.005
#    q    intensity    error
0.00000    16562364.16145783 2484.35462422
0.00500    16076203.88751703 26043.44981268
0.01000    14697706.78118918 41227.06668351
0.01500    12647975.51693185 45532.71090683
0.02000    10238108.28453913 38700.04849174
0.02500    7800431.20605283 39548.18536472
0.03000    5620836.25049302 26136.88799943
0.03500    3889554.48614083 29405.03127623
0.04000    2680622.37921308 23080.15818173
0.04500    1961350.45066161 18946.64493911
0.05000    1624267.70153890 16153.34193783
0.05500    1529300.95952477 14130.74055580
0.06000    1543014.91085271 18354.16196107
0.06500    1565557.48384053 21698.62624838
0.07000    1541354.64538917 22981.59725631
0.07500    1455359.36370931 16591.09638033
0.08000    1320247.97475220 19249.21504695
0.08500    1161067.48682966 16475.54727414
0.09000    1002545.78975322 20527.12459142
0.09500    861721.84588953 14890.55316761
0.10000    746023.00603058 14692.92277861
0.10500    655081.31522015 11457.37194952
0.11000    584178.30557582 11671.88228687
0.11500    527496.85675085 11014.13412489
0.12000    480211.00124738 8715.82947944
0.12500    439341.24410994 12455.32399433
0.13000    403669.24168441 7932.10042316
0.13500    373191.25976006 8374.41168321
0.14000    348479.53272079 8844.41034417
0.14500    330112.93885542 7952.42052049
0.15000    318261.35194564 9371.20529996
0.15500    312443.66195485 8773.41783285
0.16000    311469.81598878 9778.59465576
0.16500    313567.16257172 8588.60439203
0.17000    316620.23591260 9745.57064483
0.17500    318505.24774916 13453.66136592
0.18000    317400.97962784 8617.43640535
0.18500    312053.45353414 10447.54939206
0.19000    301944.61848140 10380.85575257
0.19500    287394.13377380 10984.20354857
0.20000    269530.01938661 9751.59588453
0.20500    250152.19493292 7729.70265149
0.21000    231432.26365395 8789.79717804
0.21500    215475.26603878 8377.67815720
0.22000    203837.94382142 8108.67322479
0.22500    197137.73081183 6682.96892581
0.23000    194878.67378651 7427.80048607
0.23500    195602.00325377 8309.17291328
0.24000    197306.42268057 9272.41512748
0.24500    198011.27044634 9498.60043186
0.25000    196263.21751826 8867.17197007
0.25500    191443.64683516 11762.29739967
0.26000    183778.67427377 8633.92192514
0.26500    174116.73050500 8336.70887094
0.27000    163590.15152679 7979.92741377
0.27500    153293.60371056 6980.99055751
0.28000    144079.83953098 8502.15114136
0.28500    136481.60141003 7611.57874110
0.29000    130719.44187359 5705.90351068
0.29500    126743.98004135 6190.17584733
0.30000    124266.81975744 6732.77614447
0.30500    122801.04977434 6763.88167088
0.31000    121719.30724893 7381.66722365
0.31500    120367.50942502 6275.96180159
0.32000    118210.23164140 6830.18703205
0.32500    114968.72620073 8432.95587891
0.33000    110693.80187380 6045.54185462
0.33500    105741.10941654 5329.35179583
0.34000    100645.02138727 6692.39054800
0.34500    95954.45631802  7470.05425787
0.35000    92068.15995864  5816.86621654
0.35500    89148.38613854  6664.73319917
0.36000    87121.10758685  5661.12944481
0.36500    85740.51123170  5177.86935786
0.37000    84699.70816841  5656.24638540
0.37500    83719.73051099  4721.79269556
0.38000    82625.00891709  6138.62490065
0.38500    81362.29787686  5653.05233046
0.39000    79996.78901534  5630.17388538
0.39500    78668.78681012  5140.21841557
0.40000    77538.64014554  6529.52874107
0.40500    76730.46714860  6074.75094871
