#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   1.64216e+07       202836
       0.004   1.61093e+07       198903
       0.008   1.52028e+07       188731
       0.012   1.38521e+07       175604
       0.016    1.2191e+07       162198
        0.02   1.03877e+07       155134
       0.024   8.61423e+06       164996
       0.028   6.99181e+06       198156
       0.032     5.595e+06       246696
       0.036   4.45412e+06       297258
        0.04   3.55468e+06       338282
       0.044   2.86518e+06       365013
       0.048   2.34652e+06       375568
       0.052   1.96025e+06       370714
       0.056    1.6754e+06       352429
        0.06   1.46828e+06       323109
       0.064   1.31985e+06       291591
       0.068   1.21385e+06       252302
       0.072   1.13553e+06       204234
       0.076   1.07231e+06       176048
        0.08   1.01486e+06       157177
       0.084        958154       144955
       0.088        901221       135962
       0.092        845766       128151
       0.096        794194       120800
         0.1        748019       113858
       0.104        707104       107478
       0.108        669824       101816
       0.112        634127      96825.9
       0.116        598628      92161.7
        0.12        563280      87138.4
       0.124        529206      81034.5
       0.128        498194      73648.4
       0.132        471737      65528.9
       0.136        450268      57572.9
        0.14        433003      50516.3
       0.144        418245      44685.8
       0.148        404060      40027.6
       0.152        388875      36232.9
       0.156        371959      32905.2
        0.16        353495      29700.7
       0.164        334320      26417.2
       0.168        315529      23480.4
       0.172        298059      21080.8
       0.176        282463      18880.7
        0.18        268872      16902.1
       0.184        257083      15146.2
       0.188        246769      13625.6
       0.192        237630      12370.9
       0.196        229485      11403.2
         0.2        222277      10701.4
       0.204        216031      10199.4
       0.208        210780      9810.47
       0.212        206504      9461.44
       0.216        203110      9117.87
        0.22        200424      8787.62
       0.224        191146      8614.29
       0.228        192689       8119.1
       0.232        185619      8252.11
       0.236        191392      7725.38
        0.24        188187       7268.8
       0.244        188174      7296.39
       0.248        184322      6679.76
       0.252        186056      6604.33
       0.256        184781      6270.27
        0.26        184013      6051.38
       0.264        181542      5611.99
       0.268        179316      5352.63
       0.272        178623      4913.78
       0.276        174510      4549.92
        0.28        171036      4326.89
       0.284        170801      4170.47
       0.288        163461      4117.31
       0.292        160649      3808.22
       0.296        159757      3601.08
         0.3        153629      3589.02
       0.304        150474      3366.25
       0.308        147494      3194.51
       0.312        145147      3085.38
       0.316        144079      3000.57
        0.32        137580      2946.76
       0.324        138816      2767.41
       0.328        137417      2667.08
       0.332        135568      2663.09
       0.336        134335      2557.95
        0.34        133652       2589.8
       0.344        134115      2614.77
       0.348        133765      2520.57
       0.352        132318      2519.27
       0.356        131377      2572.87
        0.36        126139      2472.91
       0.364        126510      2443.89
       0.368        122771      2329.11
       0.372        119761      2274.72
       0.376        116805       2128.8
        0.38        113789       2007.1
       0.384        112812      2003.76
       0.388        109639      1883.31
       0.392        107288      1810.98
       0.396        105743      1761.24
         0.4        104158      1713.05
